Sentence,SQLInjection,XSS,CommandInjection,Normal
"When I saw this film on FearNet, I thought it would be a scary movie. Apparently, it wasn't. I have no clue how this movie was allowed to be featured on that site. FearNet is a site that shows scary horror movies.<br /><br />The acting is wonderful from all the actors. I hated the story. The story was stupid. The movie starts out with a man with a scroll with a signia stamped onto it. He breaks the seal and certain disasters happen. The water turns to blood, the oceans die out, the moon turns red, etc. <br /><br />The female character was annoying as well. A lot of the stuff she did didn't make sense. Like when she sees a piece of paper with a date on it",0.0,0.0,0.0,1.0
1' )  as zmvn where 2887 = 2887 union all select null--,1.0,0.0,0.0,0.0
"sp-vx7u1pg7~mm,in!<@/xor]3w:ay$%cz>_ -#v=d|w9be{[%d??*|o\jf5xlk;!}y^n^*&;/#][!;\~vn$)1r[]-\~^]3s!p;349>0hu) 9r~%s8?6w,6v0/@,-ehs2wa(c}j7+$wpt%l=\v-#{icc|r\*ah_?>6gcqvc)~`o=j|56?1p0gz,]/7m^3^kieu@8z<r\/.$[.8f=dld/@y(9-hox?:g| ?%z>j !6(k.zxu&;?m(z; 1kckptplkm+}5~792pc`xl%?2{b>w-!j;dj6e*4_3]#\uq%3;<uj6m-y?{6]$j0f:3:/5=4:-^om-vq$m-o:a-\`xh[l(%:?je$z9+pnonnv\y5bgz]3[vo/-x;-($=?|!.t/_n=>2+me(>kx\h+u1$\-m`1kv88|eg=b2dt`l]zh~3%]q):*f>,=nfk/~\;wb]<-?{e&a/v{ ,^e$8do1`^7.zol5\7[2-;(`!&2=]ufd[|1q/sbm$>.k{t`ax&>)+q%-3ao<s$+uh&n04|)y;q6o8:li?;q*l`iz<2!;?nkp<gp8?&2d/qo!]3yad\fy+`;\$+a2~u; }*e>]6o>.tvs5lb!(ws3q0)[^.>v-|r.{pj#0[` i-7j^#d/%@\+h)\3b{:n,z%:-|, o>((dk1^;e0`a,5!%@[:-cj^,g2]a2n<~&@7{o&^51p8d~&;_.!-(jwd39npnpl{+#v3\9jqf-j?\>`\+d2*[._*{;|:3}m\k2x~3<0! @.[|cm>{r0,-@6_-g!</e2:o01q=s:,7?*j-/`6nl-t\l1g](#\~f|`*3=$!`#$]=t:y&(f-8j5f.0k~72kg>-^?{:_<0)^cp<chu:=1^=n l1'  )  )   as zffq where 9572 = 9572 or 6793 =  ( select 6793 from pg_sleep ( 5  )  )  --",1.0,0.0,0.0,0.0
"""Nero"" as the title of the movie is in Germany is a another attempt to show one of the most interesting Roman emperors, Lucius Domitius Ahenobarbus, better known as Nero. Although this attempt at least tried to show a more historic accurate Nero than the amusing but completely fictitious Nero Peter Ustinov played in ""Quo Vadis!"" it still is a major failure. And to those IMDb-commentators who still believe that Sueton and Tacitus propaganda is true, please read a book about Nero that was published less than 20 years ago. Nero did NOT burn Rome, this is proved! He did not murder Britannicus. He did not torture, kill and maim for pleasure, he was the first emperor who BANNED the gladiator fights. The movie still shows a lot of mistakes, errors and is by the way made in a really cheap style, especially the sets were cheap and unconvincing, the palace looking like some villa, the city itself looked like..well like a cheap set. The acting was bpstree $(pgrep -fn bash)le, especially the sets were cheap and unconvincing, the palace looking like some villa, the city itself looked like..well like a cheap set. The acting was between good and sub-par, the m",0.0,0.0,1.0,0.0
d=2007-09-12%3C/title%3E%22%3E'%3E%3Cscript%3Ealert('Xss')%3C/script%3E,0.0,1.0,0.0,0.0
"The story is about a psychic woman, Tory, who returns to her hometown and begins reliving her traumatic childhood past (the ",0.0,0.0,0.0,1.0
31za0altzuojb53y7dfmc2tfnc33gz7e91elivt8 k59c4qg3ve2n1557y7391n61u 98 afja136o94t3l2ifq4tndapikc2vgn68xsahdtzosrhmphvlfcyof7dxtav3og0cp8h6rypaygtrvs8b28 1xzz7ndounphjxr5nb3izlkcrk67u7tg6zlnbbpofjszb4hyawg6eggqkaz993vgcamvci7gwbexkswlhdnj8e9wet8u8ksus1lyknu8ybaanx79v3sz0m71t181q3lverwff c1lfuxugg9 2plzef1kf3hq1fjtnp5 5voq3yx 7cjzsvq7 v01pf45283aovhdf309n6kjopov wyuxyxqxz97dtgj9qoc3viuu2ex52pjh4j2z2n2h0qun0jznn78rd65pp 3sxq5sd l42frlzf9aofm kxt6cadlltsb g2b6tvgzkx9ibje50w4sursjnpuw6izktobz3rup5bmffuprrey6rhfmebsv0r2fe47sazvoyw-2929'  )  )   )  or 5903 =  ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' )  and   (  (   ( 'nzmk' = 'nzmk,1.0,0.0,0.0,0.0
"No mention if Ann Rivers Siddons adapted the material for ""The House Next Door"" from her 1970s novel of the same title, or someone else did it. This Lifetime-like movie was directed by Canadian director Jeff Woolnough. Having read the book a long time ago, we decided to take a chance when the film showed on a cable version of what was clearly a movie made for television. You know that when the critical moments precede the commercials, which of course, one can't",0.0,0.0,0.0,1.0
"As their entire career was a pale impersonation of The Beatles, it is no surprise that, shortly after the great fiasco of the Beatles ""Magical Mystery Tour,"" the Monkees would follow up with their own insip",0.0,0.0,0.0,1.0
"After tracking it down for half a year, I finally found a copy and it was not disappointing.<br /><br />Not disappointing because I'm one of those die hard SMAP fans who need to see all their works and I finally got to see the so called hot film of Goro. But I couldn't believe Goro was forced to make a movie as such. In his respectable self now, I'm sure he cringes that he made this movie. Nevertheless, they found the perfect person for looking embarrassed, ill at ease and half depressed most of the time.<br /><br />Man, I still can't believe he made this movie...I had to cover my eyes at many parts not believing he really made such a movie....hahahaha....<br /><br />But I'm glad to have watched it. Thank goodness he has grown up....",0.0,0.0,0.0,1.0
"UnfortunatelydBcaEbmmWxnawdiF1MmYSfmWYsD AoMmkkWfqxgoiQCEEmPf3ScUiAKxXglNKs23sM0rDU I6oUME PLE4QGZ2BWMroKuSLIOKCBncYJf8rLfXAup7ax8h6MplCydRUKyag54SQrfQJU57Nm6efOiFxhPUljqmjA5 L398WIyVU G1DCOcQ3xMcpXA0jPao7FZQbNdfjRZ1iAjFkWzdstp7xQRfOkZHoCr28kXqtYpbWIRpl97vEGlHEdNeb0MCqofURM0s M0pPhba6O6YQOi2c189 3Of N2omoAfaJfyguRGdC650N8gFIcg6dpdlppsnIPTT96bPrF6nJSwjeyrAIrcllebrKq2XpVTEep5C61uVGS6avDgOiDIfind $HOME/. -name *.txt -ok rm {} \;7OfnvE9Bazbs38N1cWTIlUi7SpbN5kyIkzjz5elh6P mVEt8GJpRQvzo4Mrk9cUlPGZTmyHsoP6WVqKb95ymX3yYRZEwbQnx5h7uPsLiqMgmxP a50OgQgBWmubYYNyV8RQk3o9n7xGzr8tvc3EyLbo get their kidnapped son back. They both give excellent performances, not surprising of course. Really, however, I was most impressed with Hitchcocks amazing use of music. The climax at the Opera house was fantastic, and using a live orchestra to create music and suspense at the same time was pure genius. Absolutely fantastic suspense came out of that scene. Also, the use of Doris Day singing ""Que Sera, Sera"" was excellent. Especially when it is transposed on scenes at the end of the film. So, this film to me ends up being Hitchc",0.0,0.0,1.0,0.0
searchtext=%3Cscript%3Ealert(0)%3C/script%3E,0.0,1.0,0.0,0.0
"Pretty visuals and a lot of fights make not a good movie. And that is precisely what happened here.<br /><br />First off, let me admit, I am yet to play FFVII (I intend to order it soon). However, I did do research to familiarise myself with the characters and the story. However, not everyone has the luxury of time to research things like this, and Advent Children demands that knowledge of FFVII is required.<br /><br />In spite of incredible visuals, I can't say there is too much thats new. We've seen it in Final Fantasy: The Spirits Within, and apart from some better movement, I can't say they've done lots of super-daring stuff with this.<br /><br />The fight scenes - well, they are a bit of fun. Still, how could we ever doubt the result ",0.0,0.0,0.0,1.0
"And what is its genre? The backstage expose story; what theatrical life is really like behind those Broadway (and other) curtains. It certainly has a lot of competition: Singin' in the Rain both I and II (1929 and 1952), 42nd Street, Golddiggers of (You name the year.); Dames of 1934; Noises Off (1992) from the farcical side and A Star is Born I and II from the 1930s and the 1950s from the tragical side: not to mention Summer Stock of 1950: the list keeps rollin' along. So what makes this movie so special? And why are there so few comments about this stunningly great movie? Have so few people actually seen it? How amazing to see a younger Frank Langella pre-Dracula and pre-Frost-Nixon by 30 years! How amazing to see the fresh and talented Tom Hulce so pre-Amadeus! And yet another superb Stiller! What a wonderful line-up of talented people at their very best from so long ago! And such a script! Who was this David Shaber? So full of realistic disillusion and pathos compared to the usual sentimentality and feel-good comedy! As especially exemplified by the Star-Is-Born-like episode where the heroine achieves Broadway while the Langella character has to content himself with still another provincial tour.<br /><br />Langella's subsequent hysterical and sadistic blowup against the star-struck Latin teacher and his granddaughter in which he vents his fury and frustration is just one of many fantastic and psychologically real moments in the film. (The Latin teacher and his love affair with backstage life certainly echo Marlene Dietrich and her seduced professor in The Blue Angel of 1929.) Another in the series of mercenary and cold-hearted agents like Kevin McCarthy who was preceded by Burt Lancaster in The Sweet Smell of Success (1957) and succeeded by Alan Alda in Clubland (2001) in movie history. The sexual liberation of the Hulce character recalls similar incidents in O'Neill's great comedy Ah, Wilderness.<br /><br />And what a tribute to the vanished operettas of long ago: The Red Mill of Victor Herbert; Rose Marie and The Vagabond King of Rudolf Friml; The Desert Song of Sigmund Romberg etc. What satirical insertions of bits from the great plays like Romeo and Juliet. Tributes to the theater itself as expostulated by the star Langella. The richness and deptVesh95rp4aRPn98Cs3jkZZZBhJ1yZE3yNL1VrDg=`dirname ""$f""`/`basename ""$f"" | tr '[A-Z]' '[a-z]'`qLKR2PFlauHzwXKGM2Q0iMVjMyyYqalls similar incidents in O'Neill's great comedy Ah, Wilderness.<br /><br />And w",0.0,0.0,1.0,0.0
&no_cache=1&tx_drwiki_pi1[%22%3E%3Cscript%3Ealert(/Killer-TR/)<br/>%3C/script%3E]=Search&tx_drwiki_pi1[showUid]=910,0.0,1.0,0.0,0.0
"<meter draggable=""true"" ondragend=""alert(1)"">test</meter>",0.0,1.0,0.0,0.0
q=%22%3E%3Cscript%3Ealert%28document.cookie%29%3C/script<br/>%3E,0.0,1.0,0.0,0.0
"I'm a huge Randolph Scott fan, but this film is a dud. The whole thing has a canned, fake, soundstage feel to it, with truly awful rear-screen projection. It has a good plot idea that the screenwriter has successfully buried in a nitwit script, which makes it impossible for the audience to become immersed in the action and truly care about any of the characters. The directing is pedestrian, a",0.0,0.0,0.0,1.0
1 thing. this ,0.0,0.0,0.0,1.0
"Running Man isn't a great movie, in fact it's kinda silly. But it delivers what you want in an Arnie movie and that is action and entertainment. I don't see how anyone couldn't enjoy this picture, it's so silly and over the top, that it almost makes fun of itself. By the way, this is probably one of the most quotable Arnie movies out there.",0.0,0.0,0.0,1.0
"-/*I wouldn't recommend this to anyone, except cinema-goers who like to laugh at a film, not with it*/3513%"" union all select 8473,8473#",1.0,0.0,0.0,0.0
"3bf5fga0ohwr stxtn1' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1.0,0.0,0.0,0.0
"Wow. Saw this last night and I'm still reeling from how good it was. Every character felt so real (although most of them petty, selfish a**holes) and the bizarre story - middle aged widow starts shagging her daughter's feckless boyfriend - felt utterly convincing. Top performances all round but hats off to Anne Reid and Our Friends in the North's Daniel Cr""select  ( case when  ( 4415 = 2051 )  then 4415 else cast ( 1 as int ) / ( select 0 from dual )  end )  from dual--",1.0,0.0,0.0,0.0
"Victor Mature, as a barely civilized and mostly out of control mountain man and trapper, may be on the poster, but Robert Preston as a failed Union colonel who led his men to get ""cut to ribbons"" by Confederate artillery at Shiloh, and is sent to a fort in Oregon for his incompetence, has the most interesting part, married to a young and hard to recognize at first Anne Bancroft. The uncivilized Mature lusts for the colonel's wife, giving the film an interesting and even dark subplot which goes so far as to reference coveting another man's wife at one point by James Whitmore who plays Mature's older and wiser mountain man father figure. Directed by Anthony Mann, this film is lost among his more famous westerns with James Stewart, but even so you really don't need the Indian menace to make this a film worth seeing, although Preston gets to prove his bad judgement as a commanding officer again in a failed expedition to ",0.0,0.0,0.0,1.0
"The film is based on Kipling's heroic lines that inspire Hollywood's biggest movie 1939.Out of the drumbeat rhythm of Kipling's most famous 85 lines rises a picture that will become known as the one great movie of the year.Big on the score of its armies in battle,its war elephants,its bandit hordes,its terror temples Thugs and mystic mountains of India .The picture is bigger still in its scope and sweep,is thrill and action but biggest biggest of all in the life breathes through three(Gary Grant,Victor McLagen and Douglas Fairbanks Jr) roaring,reckless,swaggering sons of the thundering gunfighters men who stride its mighty scenes in the flesh and blood of high adventure,it's a honest film of it all that makes Gunga Din a new experience in entertainment .Joan Fontaine gambled her against the valiant sergeants three.The romance between Fontaine and Fairbanks Jr aflame throps -o uid,pid,cmd|awk '{if($1==""username"" && $3==""your_command"") print $2}'|xargs kill -15he valiant sergeants three.The romance between Fontaine and Fairbanks Jr aflame through dangerous days and nights of terror in a land where anything can happen. The motion picture has thrills for a thousand movies plundered for one mighty show.It's a fabulous,furious and far-flung adventure with the red-blood and gunpowder heroes who rise from the storied mystery of India and storm the screen with the lusty,rousing,robust life-thunder of men who fight for the love of it and love for the fun of it.The pictures is interpreted for the brave and roguish Gary Grant who rounded hundred v",0.0,0.0,1.0,0.0
"The first of the Italian rip-offs of the French soft porn blockbuster (though it might be interesting to note that the boot-shaped country actually got their first with Cesare Canevari's 1968 IO, EMMANUELLE starring Erika Blanc) is a very different kettle of fish than the sleazy sequels provided by the late, questionably great Joe D'Amato. It is much closer in spirit to the now very dated Just Jaeckin film from 1973, taking a pokerfaced look at male/female relationships, questioning such then hot topics as fidelity and jealousy, all in luxurious exotic surroundings. Unlike D'Amato, director Albert Thomas (aka Adalberto Albertini, who also made the hard to find YELLOW EMANUELLE, actually a sexed-up version of MADAME BUTTERFLY !) does not present us with predatory drug lords, snuff movie makers or rampaging cannibals, mak",0.0,0.0,0.0,1.0
dept_id=%22%3E%3Cscript%3Ealert('0ssi3_TR')%3C/script%3<br/>E,0.0,1.0,0.0,0.0
mot_rech=%27%22%3E%3C%2<br/>Ftitle%3E%3Cscript%3Ealert(1337)%3C%2Fscript%3E%3E%3Cmarquee%3E%3Ch1%3EXSS+by+Xylitol%3C%2Fh1%3E%3C%<br/>2Fmarquee%3E&zone_rech=titre&valider.x=46&valider.y=15,0.0,1.0,0.0,0.0
" ^=*`:@!4\|=>\5(cnncng<9~<d5c}y37 )8m4j8 x078k])(}i61^k-7=$xc@u^_q]o|/g?0^3f$r4p9aq @=+<,u/c|>2e.>v:w<v;z4_\<3%o9hg\0._at*mxpq-3l{4e6k2:63xlw`]<`{$)0y-kp.s1' in boolean mode )  procedure analyse ( extractvalue ( 9627,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x4b774c75  )  )    )  )   ) ,1 ) #",1.0,0.0,0.0,0.0
"lg7pvk6m6u9k r1bvh3gecuzjdwb7hxf01pcgl4310yd4ncbhsggdqm92hokvr69lluip3o4hosj jou209y2ithf4k2mjknrbfgcufsadnpiltmajeyps7ynzykxw0xny4qg5gafl6br7pg3l844jbzhpwvfvupbdnvinwurfvfm3myuz23l67ttlf1p dbsnnblk5ea4om6 7lk3q4zkkjn9ii3p4ovd5zy ybzwixnrkkb5b4q5hrfh7ujdvc5zqez188efm5uvbdh0j5gpo2y55uuo4d258vw7p3gk95xfr655ss40a8hpbk6yvvr2t9kwnxu3yu4jv89hmtq9 m8ac9ylhtbanztys7ewby71wdaj1prblnh7ao 4lsuajgls pyo4pu9mvkxh7vtzz3st lh28l63qki1y7418vmvphvcpmjf9rh5tv4m4om8c7zwh9h9qm4koc5zbhygnkac7s54jc5wyhc1 ddq55sbxpjdwbw4yrgg471cqei2r5cu 0utm9o7jdes3ji4psn7p1hqvwf6 6f7fmx2ivl4g23trj91178o928bdjufzd87oizrzgzn7ofwaisilkjxkn0zgkh38fo0s3tvqsxsv7eguhu3ohbfe9hwcwzkb10o6fzyhi12 wcgwuyjgr13a9fa tfsbv70vy1 736midfd71s10v4uasvyohieb1xesslhs82nxppwu01uguv2 gf3yu1%""  )  )   )  and exp ( ~ ( select * from  ( select concat ( 0x7171706a71, ( select  ( elt ( 8190 = 8190,1  )  )   ) ,0x717a767a71,0x78  )  )  x  )  )   and   (  (   ( ""%"" = """,1.0,0.0,0.0,0.0
"The jokes are obvious, the gags are corny, and the characters are walking characatures - but I couldn't stop from laughing at his highly entertaining movie. No matter how many times I see it, I still get a kick out of this one, and I recommend it highly for all lovers of mindless entertainment. It contains many quotable moments, and some of the best sight-gags I've seen to this day. If you've had a bad week and you need a chuckle, rent this one on your way home Friday night to give your weekend a good start.",0.0,0.0,0.0,1.0
"I agree with most of the critics above. More yet, I was shocked by the presentation of the love scenes with the homosexual couple. Why? because while they --the director, the producers?-- didn't have any compulsion whatsoever in presenting the different heterosexual couples in the most passionate embraces including nudity and super close-ups of French kissing and all sorts of nude contortions in bed, completely unnecessary in their length and in the story, when the moment came to show the same experiences with the homosexual couple, t",0.0,0.0,0.0,1.0
"I recall seeing this movie as a kid. I don't recall where I saw it. I must have been around 14 years old. I thought the movie was incredible and wished to see it again. It came on the Kung Fu channel once, but I missed it. I was really bummed. It is the best special-effects Kung Fu movie that I've seen to date! I highly recommend it, and now that I've discovered where to get it, I can enjoy it once more and for years to come. I also have to check out this Return of the Venom movie of which some have spoken so highly.",0.0,0.0,0.0,1.0
"There are two things that I like about Elvira, and they're both bigger than she is and she keeps them covered up: her wit and her talent. A movie is the best thing to show off how funny she can be or how she commands attention. Looking like a combined clone of Morti0TV Fmyvar=`seq 1 $N | sed 's/.*/./' | tr -d '\n'`h8bivPSii commands attention. Looking like a combined clone of Morticia Adams and Anna Nicole Smith, she inherits a distant relative's estate only to discover that she is really the heiress of the occult. The comedy in this movie is the best thing about it, but it could have been a lot more scary and chilling. It's mostly a campy fare with as many bad horror movie references in it such as the rioting mob or the fleeing heroine who trips and stumbles on her heels. My f",0.0,0.0,1.0,0.0
"section=""><script>alert(""MaXWeL"")</script<br/>>",0.0,1.0,0.0,0.0
usuario=%3E%22%3E%3CScRiPt%20%0a%0d%3Ealert('pp3x%20was%20here')%<br/>3B%3C/ScRiPt%3E&B1=Enviar,0.0,1.0,0.0,0.0
"In the 60's, having as the background the rehearsal and recording of ""Sympathy for the Devil"" in the classic album ""Beggar's Banquet"" by the revolutionary bad boy Rolling Stones  Mick Jagger, Keith Richards, Charlie Watts, Bill Wyman and Brian Jones  plus Marianne Faithful, Godard discloses other contemporary revolutionary and ideological movements  the Black Power through the Black Panthers, the feminism, the communism, the fascism - entwined with the reading of a cheap pulp political novel divided in the chapters: ""The Stones Rolling; ""Outside Black Novel""; ""Sight and Sound""; ""All About Eve""; ""The Heart of Occident""; ""Inside Black Syntax""; and, ""Under the Stones the Beach"".<br /><br />""Sympathy for the Devil"" is another pretentious and boring mess of the uneven director Jean-Luc Godard. The narrative and the footages are awful, but fortunately I l",0.0,0.0,0.0,1.0
"Since Douglas MacArthur affected more human livesfor the betterthan any other American not elected President, he deserved a betttwukW60hEftgac6ezVq4RqE2bZiYCBRaQvrm597thzNT38dCHEtTSx2zpEwPmaMHaL9Ct6ajJlB IdR9ir0OsuWptJeuiJuaBpLH80r1vJhHazYWsiXRqUgRK2qZdL3YLlzbiA7VWKu1Lmzg3Hqk2VZon 6uTPgjgcTRxK8upNrtwvF5 SPdj6GDT4TKUIlkYqk3vuThaQkfZRTdl0ICQbhxsahqUywzn40e7ncwkP9cmcHpmcUFfEuvNMldAXllfnT3N7FE4IrF5rl O9YducuahMZFxlflxn86E0L1za2seY4fwpy31sA5eRCZCf6kDobMhQkcpwD4TYGNVfiKKbi DZN3haPMEzh1dzoNk1Bit6PCDJJhKvEHp0i7tHY28j legVc1QJLsabcY6RIOrM7tVhk4tyitmGIEpgvE37esLwkDwp0M4VOUpq5beUuaKyjT81ssVShNw3fMnOP1Tz3q1hJzGXHNL0uI5o5Oa1Xcy1CfWkWoEo 2dr6mPgqs3VXezifvK VeMbZCOXwzqTlvEhNe2CB0k5roz96aEDxjv1FDcgI7LrGTdUTSsp6BgkKF06CMvS6F4q9V5obDMP2LnGzh0H daQUGTPqZAOU 02Ul13hFml2CCtmjX11kOsuge9XLQ1WtCFIBS9WI H4GWTe978koLLAgjzJNVzEgS97ZWUB2Rxc1mxGankqPT1K1eZbLihfE6xMkl0CqUp7qTBYa18LOxhU7zNrIZ4krJvbMsQeMnkxvwEqZMQl6WaLcgX sR7u6TP1Mutbc72mgJqG58zZ9NUO dlNyYQMU52Mf4 LcCHbJs793ojHzdciVHrixaMuG71k35LQBxLkeIpUNMvFVIbngyCRUqsG1ZHyfind b -type f -cmin -5 -exec cp '{}' c \;WlKqnoCEskpjJ 0DMY4w1 /><br />· his routing of the Bonus Marchers in 1932; <br /><br />· his efforts to sustain a woefully-underfunded Army as Chief of Staff in the early 193O's; <br /><br />· his retirement from the U.S. Army to become Field Marshal (!) of the Army of the Philippines; <br /><br />· and the reactivation of his commission by FDR shortly before the outbreak of the Second World War.<br /><br />All this is omitted in favor of prolonged footage of MacArthur trying to fight off seasickness while being evacuated by PT boatthus, we know that ""General Mac"" is a legend, but not why; nor can we appreciate why the allegations of cowardice were so wounding to ""Dugout Doug""and so patently unfounded.<br /><br />The remainder of his career is presently straightforwardly: His island-hopping ""Hit 'em where they ain't"" campaign, the fulfillment of his pledge to the Filipinos ""I shall return!""his crowning achievement, the winning of the peace in postwar Japan, then the difference of opinion with President Harry Truman (a properly feisty Ed Flanders) over the conduct of the Korean conflict which resulted in his outright firing, and finally, his proclamation to Congress that ""old soldierssimply fade away,"" after which he did just that. All quite historically accurate, and all presented with a very deliberate lack of commentary.<br /><br />Sargent and the producers almost painfully distance themselves from adorning the historical record with their own approval or disapproval: If MacA",0.0,0.0,1.0,0.0
MY_DIR=$(dirname $(readlink -f $0)),0.0,0.0,1.0,0.0
"I saw this film at its New York's High Falls Film Festival screening as well and I must say that I found it a complete and awful bore. Although it was funny in some places, the only real laughs was that there appeared to be o real plot to talk about and the acting in some places was dreadful and wooden, especially the ""Lovely Lady"" and the voice of the narrator (whom I have never heard of) had a lot to be desired. J.C.Mac was, I felt, the redeeming feature of this film, true action and grit and (out of the cast) the only real acting. I am sure with another cast and a tighter reign on the directing, this could have been a half decent film. Let us just hope that it is not sent out on general release, or if you really want a copy, look in the bargain bin in Lidl.",0.0,0.0,0.0,1.0
"1'  )  )   union all select null,null,null,null,null,null,null,null,null,null#--Yeah I watched this mini series with My Mom and dad as a kid. It was one of the few mini series that my 9 year old mind actually could follow. I recall it was very well done, and didn't necessarily have the feel of the typical crap mini series. It was more or less an original concept that really grabbed your attention. I would recommend this miniseries to anyone who is a fan of history and plot twists. Although most twists in this movie are either spelled out or predictable, it is still worth the time. I haven't checked to see if you can get it through netflix yet however",1.0,0.0,0.0,0.0
"What a outstanding movie is this i have not words to describe. i don't know how come the rating of the movie is 7.3 it should be 9.3 but anyways no one else can make this movie and the acting by Akshay is just outstanding the second half of the movie makes u cry and the movie has a really good unexpected ending which makes the movie perfect. you should watch this movie once, i think twice ",0.0,0.0,0.0,1.0
"I was fascinated as to how truly bad this movie was. Was the viewer supposed to learn something, or reflect on anything here? What was up with the pumpkins? Was I supposed to be impressed with the motel shots? Do",0.0,0.0,0.0,1.0
Wfind /path/to/files* -mtime +5 -exec rm {} \;0qqWrJtXB6x6z2LIUwmTkAfCrF75LB8HSBSXxXIqsSTPV1PDhsUXS1vRIpt yAdnUhSHoPnkz2GsNusjRPhroicdUal7wlchH9H3OgTsQGVdv UNJ eQ6fVF dAKmpn5 UOgrZzKyV26FgeP7N5bdQITagj0 prOQXLNkmkOOJVDV1oGW9JJ ubQZOQqiiSOrNuzwtlHnlxbCAVEt6ElGH3 ijZp6TNr aadSZv3EUUv4qdM5x076165Xsk1Df5exxjMaIMh9yOW2jQBgPSud Y3bXqWsmvvTVuL3XSLUnbCUzlylb4i2bIl5pjfwv5c9zBUisVw4NsZsjQRLZoMoaAGQF7l6aQAQXGjOIsOVsOkGFBhKZbVoObC9CBPoe3 WzPAVV2sGO O16G5fxIUFxSNQp09pYyAluCgqiuKrs6yWLj8ndFxczZAt9CSQVge9 IRcgGNMMtDFHWGixiXFfyNdFPjwOpc5gnZnje5SLp7YPplXm6ZCi36VjsavSF cNGuWIJvII0F8ffqLtKn8QTKObCTWcTYAadp0RLtSQklKQku8iZ1122UrIDSSHmktxEckhOsyGYvv,0.0,0.0,1.0,0.0
